Frecuencia (Hz)	Nivel (dB)
3036.181641	-36.276638
3038.873291	-36.262356
3041.564941	-36.249733
3044.256592	-36.238815
3046.948242	-36.229542
3049.639893	-36.221962
3052.331543	-36.216022
3055.023193	-36.211777
3057.714844	-36.209198
3060.406494	-36.208294
3063.098145	-36.209023
3065.789795	-36.211414
3068.481445	-36.215450
3071.173096	-36.221149
3073.864746	-36.228474
3076.556396	-36.237453
3079.248047	-36.248047
3081.939697	-36.260284
3084.631348	-36.274117
3087.322998	-36.289585
3090.014648	-36.306641
3092.706299	-36.325317
3095.397949	-36.345570
3098.089600	-36.367424
3100.781250	-36.390812
3103.472900	-36.415768
3106.164551	-36.442249
3108.856201	-36.470257
3111.547852	-36.499767
3114.239502	-36.530746
3116.931152	-36.563217
3119.622803	-36.597111
3122.314453	-36.632458
3125.006104	-36.669189
3127.697754	-36.707336
3130.389404	-36.746857
3133.081055	-36.787708
3135.772705	-36.829918
3138.464355	-36.873409
3141.156006	-36.918209
3143.847656	-36.964222
3146.539307	-37.011456
3149.230957	-37.059849
3151.922607	-37.109348
3154.614258	-37.159939
3157.305908	-37.211567
3159.997559	-37.264229
3162.689209	-37.317875
3165.380859	-37.372459
3168.072510	-37.427967
3170.764160	-37.484276
3173.455811	-37.541340
3176.147461	-37.599106
3178.839111	-37.657494
3181.530762	-37.716507
3184.222412	-37.776039
3186.914062	-37.836033
3189.605713	-37.896465
3192.297363	-37.957169
3194.989014	-38.018101
3197.680664	-38.079174
3200.372314	-38.140263
3203.063965	-38.201385
